date,time,location,latitude,longitude,crime_type,severity,district
2020-01-01,07:52,"653 Cantonment, Kolkata",22.6018,88.4102,Unlawful Assembly,Medium,University Area
2020-01-01,15:41,"433 MG Road, Ludhiana",30.8587,75.8801,Arson,High,Shopping Complex
2020-01-01,16:21,"996 Commercial Street, Nagpur",21.1414,79.0536,Forgery,Low,University Area
2020-01-01,17:33,"294 LBS Road, Imphal",24.8428,93.9004,Causing Hurt,Low,Airport Area
2020-01-01,19:15,"927 Lake Road, Vadodara",22.2618,73.2258,Vandalism,Medium,Residential Area
2020-01-02,12:03,"509 Inner Ring Road, Bhubaneswar",20.293,85.856,Motor Vehicle Theft,Medium,New Town
2020-01-02,15:02,"327 LBS Road, Ranchi",23.3262,85.3568,Juvenile Crime,Medium,Hospital Area
2020-01-02,16:04,"161 Church Street, Nagpur",21.1113,79.0888,Causing Hurt,High,Industrial Area
2020-01-02,17:18,"427 Park Street, Bhubaneswar",20.2571,85.8551,Extortion,Medium,East
2020-01-02,23:38,"372 River Road, Ghaziabad",28.6681,77.415,Motor Vehicle Theft,Low,Residential Area
2020-01-02,23:42,"229 State Highway, Jaipur",26.8653,75.8231,Child Abuse,Medium,Mall Area
2020-01-03,03:52,"669 Mall Road, Varanasi",25.3637,82.986,Causing Hurt,Medium,Central
2020-01-03,09:31,"18 Express Highway, Bhopal",23.2572,77.3671,Criminal Breach of Trust,Medium,Shopping Complex
2020-01-03,10:06,"899 State Highway, Madurai",9.9552,78.1203,Child Abuse,Medium,Bus Terminal Area
2020-01-03,14:11,"388 Cross Road, Meerut",28.9999,77.6906,House Breaking,High,Residential Area
2020-01-03,17:42,"2 Station Road, Haridwar",29.9938,78.1779,Criminal Breach of Trust,Low,Downtown
2020-01-03,18:39,"112 Hill Road, Kanpur",26.4843,80.3705,Robbery,Medium,Shopping Complex
2020-01-03,18:51,"354 Station Road, Indore",22.7412,75.8646,Vandalism,Low,Mall Area
2020-01-04,08:51,"727 Nehru Street, Vadodara",22.3452,73.215,IT Act Violation,Medium,Suburban
2020-01-04,12:51,"629 Hill Road, Vasai-Virar",19.4961,72.7998,Rape,High,Railway Station Area
2020-01-04,15:32,"299 SV Road, Coimbatore",11.0546,76.9453,House Breaking,Medium,Government Quarter
2020-01-04,15:59,"709 Station Road, Surat",21.1653,72.8011,Criminal Intimidation,Low,Shopping Complex
2020-01-04,16:04,"713 MG Road, Chennai",13.0492,80.2414,Causing Hurt,Low,East
2020-01-04,17:39,"681 Main Road, Agra",27.1508,77.9998,Culpable Homicide,Medium,South
2020-01-05,08:02,"746 Main Road, Pimpri-Chinchwad",18.6313,73.7855,Criminal Breach of Trust,Medium,East
2020-01-05,11:27,"281 Inner Ring Road, Hyderabad",17.4309,78.5169,Causing Hurt,Low,Airport Area
2020-01-05,13:01,"358 Residency Road, Surat",21.1595,72.858,Kidnapping,High,Commercial District
2020-01-05,14:49,"230 Cross Road, Gwalior",26.179,78.1617,Drug Trafficking,Medium,Central
2020-01-05,15:08,"46 MG Road, Amritsar",31.6831,74.8304,Kidnapping,High,Commercial District
2020-01-05,15:18,"776 Brigade Road, Nagpur",21.1167,79.0492,Domestic Violence,Medium,Shopping Complex
2020-01-05,16:22,"682 Gandhi Nagar, Jamshedpur",22.7606,86.1878,Burglary,Low,Mall Area
2020-01-05,16:24,"293 Linking Road, Visakhapatnam",17.7295,83.247,IT Act Violation,Medium,Mall Area
2020-01-05,18:08,"829 Gandhi Nagar, Gwalior",26.2046,78.1815,House Breaking,Low,Mall Area
2020-01-06,07:30,"68 State Highway, Rajkot",22.3193,70.8211,Economic Offence,Medium,IT Hub
2020-01-06,11:17,"818 Mall Road, Surat",21.219,72.8351,Assault,Medium,East
2020-01-06,12:26,"34 Market Street, Vasai-Virar",19.5108,72.8367,Corruption,Low,Residential Area
2020-01-06,14:42,"652 Residency Road, Visakhapatnam",17.7254,83.2063,Drug Trafficking,Medium,South
2020-01-06,16:56,"777 Inner Ring Road, Delhi",28.6969,77.1396,Extortion,Medium,East
2020-01-06,17:18,"770 Commercial Street, Bhubaneswar",20.3456,85.8067,Rioting,Low,Hospital Area
2020-01-07,08:20,"150 Lake Road, Agra",27.2092,78.0064,Burglary,High,Commercial District
2020-01-07,10:43,"738 Express Highway, Kalyan-Dombivli",19.276,73.1478,Arson,Low,Old City
2020-01-07,16:47,"997 SV Road, Dehradun",30.342,77.9977,Forgery,Medium,Suburban
2020-01-07,17:27,"728 Mall Road, Chennai",13.0818,80.2818,Causing Hurt,High,North
2020-01-07,19:20,"283 LBS Road, Delhi",28.7361,77.1405,Burglary,Low,IT Hub
2020-01-08,06:35,"612 Nehru Street, Nagpur",21.0958,79.0847,Land Dispute,High,Market Area
2020-01-08,08:59,"843 Raj Path, Tirunelveli",8.7219,77.726,Causing Hurt,Low,Industrial Area
2020-01-08,14:54,"784 Station Road, Guwahati",26.0985,91.7169,Cybercrime,Medium,West
2020-01-08,16:32,"397 Brigade Road, Meerut",29.0192,77.7268,Kidnapping,Critical,Mall Area
2020-01-08,16:40,"61 Main Road, Imphal",24.8082,93.9409,Forgery,Low,Commercial District
2020-01-08,18:13,"817 Nehru Street, Tiruchirappalli",10.7767,78.6785,Counterfeiting,Low,Old City
2020-01-08,21:45,"219 Main Road, Meerut",29.0134,77.7549,Kidnapping,High,West
2020-01-09,04:29,"692 Park Street, Jabalpur",23.1607,79.9701,Burglary,Low,Financial District
2020-01-09,08:33,"461 Market Street, Thane",19.1724,73.0233,Defamation,High,Market Area
2020-01-09,08:49,"731 Main Road, Surat",21.1526,72.8422,Arms Act,Medium,West
2020-01-09,13:47,"723 Cantonment, Salem",11.7119,78.1291,Dowry Death,High,Government Quarter
2020-01-09,15:41,"153 Hill Road, Meerut",28.9376,77.7294,Cybercrime,Medium,IT Hub
2020-01-09,16:17,"139 LBS Road, Nashik",20.0131,73.8311,Theft,Low,New Town
2020-01-09,19:06,"416 Inner Ring Road, Coimbatore",10.9711,76.9868,Rioting,Low,East
2020-01-09,22:26,"987 Market Street, Udaipur",24.6107,73.7479,Mischief,Medium,South
2020-01-09,23:26,"335 Beach Road, Nashik",19.9924,73.8283,Extortion,Medium,South
2020-01-10,08:26,"424 Church Street, Jamshedpur",22.7696,86.1722,Robbery,High,New Town
2020-01-10,12:53,"278 LBS Road, Jodhpur",26.1985,73.0194,Cybercrime,High,Railway Station Area
2020-01-10,13:20,"582 Express Highway, Faridabad",28.3895,77.3478,Burglary,High,New Town
2020-01-10,17:52,"521 Inner Ring Road, Jodhpur",26.2313,73.0083,Human Trafficking,High,Mall Area
2020-01-10,20:16,"75 Outer Ring Road, Kanpur",26.4406,80.2925,Cheating,Medium,Residential Area
2020-01-10,21:51,"410 Express Highway, Madurai",9.9289,78.1023,Child Abuse,Medium,Commercial District
2020-01-11,12:26,"788 Outer Ring Road, Bangalore",12.9256,77.5917,Extortion,High,North
2020-01-11,13:23,"74 Residency Road, Ranchi",23.3349,85.3143,Causing Hurt,Low,Downtown
2020-01-11,14:52,"432 Beach Road, Faridabad",28.4098,77.3634,Honor Killing,High,Downtown
2020-01-11,18:18,"982 Raj Path, Kanpur",26.4583,80.3754,Fraud,Low,Government Quarter
2020-01-11,18:27,"258 Station Road, Agra",27.1927,77.9582,Juvenile Crime,Low,New Town
2020-01-12,09:37,"436 River Road, Dehradun",30.366,78.0093,IT Act Violation,Low,Airport Area
2020-01-12,11:31,"105 Main Road, Ahmedabad",23.0299,72.5696,Theft,Low,Residential Area
2020-01-12,14:19,"551 SV Road, Cuttack",20.4313,85.9022,Fraud,Medium,Old City
2020-01-12,17:37,"938 Civil Lines, Vadodara",22.29,73.2223,Motor Vehicle Theft,Medium,University Area
2020-01-12,17:57,"32 Raj Path, Ahmedabad",23.0554,72.6035,Narcotic Drugs Act,Medium,Financial District
2020-01-12,22:48,"588 Raj Path, Agra",27.1944,77.984,Narcotic Drugs Act,Low,South
2020-01-13,09:01,"311 Beach Road, Visakhapatnam",17.6441,83.2055,Cheating,Low,West
2020-01-13,11:55,"892 Linking Road, Ghaziabad",28.6874,77.4735,Cheating,Medium,University Area
2020-01-13,18:05,"830 Main Road, Kanpur",26.401,80.3565,Cybercrime,Medium,Shopping Complex
2020-01-14,09:31,"942 Station Road, Hyderabad",17.4179,78.4467,Mischief,Medium,West
2020-01-14,15:27,"709 Lake Road, Patna",25.5529,85.1072,Causing Hurt,Medium,Hospital Area
2020-01-14,16:17,"540 Inner Ring Road, Nashik",19.9605,73.8243,Grievous Hurt,Medium,New Town
2020-01-14,19:09,"923 Hill Road, Jamshedpur",22.8061,86.1734,IT Act Violation,Low,Financial District
2020-01-14,19:15,"840 Hill Road, Tiruchirappalli",10.7683,78.7176,Theft,Medium,Suburban
2020-01-15,11:21,"833 National Highway, Chandigarh",30.7423,76.7492,Cheating,Medium,Financial District
2020-01-15,11:30,"572 Beach Road, Gwalior",26.2605,78.1958,Kidnapping,High,Market Area
2020-01-15,14:40,"505 Cantonment, Kanpur",26.4984,80.3755,Vandalism,Medium,University Area
2020-01-15,14:40,"267 Main Road, Delhi",28.6895,77.141,Kidnapping,Critical,Old City
2020-01-15,14:55,"491 Mall Road, Patna",25.6319,85.1496,Arms Act Violation,Critical,University Area
2020-01-15,16:54,"659 Station Road, Kolkata",22.5319,88.4094,Attempt to Murder,Critical,West
2020-01-15,19:06,"443 LBS Road, Nashik",19.9519,73.7505,Cybercrime,Medium,Bus Terminal Area
2020-01-16,09:49,"370 Station Road, Jabalpur",23.1502,79.9651,Dacoity,Medium,South
2020-01-16,12:11,"600 Nehru Street, Surat",21.1247,72.7906,Mischief,Medium,East
2020-01-16,13:03,"309 Lake Road, Delhi",28.7135,77.1176,Motor Vehicle Theft,Medium,West
2020-01-16,15:32,"575 State Highway, Raipur",21.298,81.6635,Extortion,Medium,Bus Terminal Area
2020-01-16,17:39,"379 Mall Road, Salem",11.6386,78.1957,Assault,Medium,Industrial Area
2020-01-16,18:57,"956 LBS Road, Ahmedabad",23.0375,72.6009,Juvenile Crime,Medium,Market Area
2020-01-17,08:51,"530 Commercial Street, Tiruchirappalli",10.7661,78.7058,Burglary,Medium,Hospital Area
2020-01-17,10:40,"339 Church Street, Nashik",20.0383,73.8295,Forgery,Medium,South
2020-01-17,11:39,"507 Brigade Road, Guwahati",26.1521,91.6965,Cheating,High,Suburban
2020-01-17,13:23,"758 National Highway, Nagpur",21.125,79.1167,Extortion,Medium,Industrial Area
2020-01-17,14:06,"81 Brigade Road, Vadodara",22.3449,73.1427,Theft,High,University Area
2020-01-17,14:31,"145 National Highway, Kota",25.2448,75.8243,Domestic Violence,Medium,West
2020-01-17,15:42,"107 River Road, Imphal",24.8225,93.98,Theft,Low,West
2020-01-18,02:49,"414 Commercial Street, Vadodara",22.2854,73.1659,Child Abuse,High,Railway Station Area
2020-01-18,06:04,"935 Main Road, Faridabad",28.4249,77.3341,Motor Vehicle Theft,Low,New Town
2020-01-18,06:07,"10 Market Street, Varanasi",25.3046,82.9432,Cheating,Medium,Central
2020-01-18,10:44,"10 Park Street, Kochi",9.9759,76.265,Cheating,Low,IT Hub
2020-01-18,12:31,"536 Cantonment, Bhubaneswar",20.2608,85.8426,Burglary,Low,Bus Terminal Area
2020-01-18,13:41,"292 National Highway, Mumbai",19.073,72.8773,House Breaking,High,Railway Station Area
2020-01-18,17:48,"815 Main Road, Pune",18.5237,73.842,Fraud,Medium,Hospital Area
